"ben_sample_nu";"loc_au";"loc_id";"plot_id";"trt_id";"plot_half"
1;"flakkebjerg";"sexy1";"101";"p";"D"
2;"flakkebjerg";"sexy1";"101";"p";"Y"
3;"flakkebjerg";"sexy1";"105";"a";"D"
4;"flakkebjerg";"sexy1";"105";"a";"Y"
5;"flakkebjerg";"sexy1";"202";"a";"D"
6;"flakkebjerg";"sexy1";"202";"a";"Y"
7;"flakkebjerg";"sexy1";"209";"p";"D"
8;"flakkebjerg";"sexy1";"209";"p";"Y"
9;"flakkebjerg";"sexy1";"307";"a";"D"
10;"flakkebjerg";"sexy1";"307";"a";"Y"
11;"flakkebjerg";"sexy1";"311";"p";"D"
12;"flakkebjerg";"sexy1";"311";"p";"Y"
13;"flakkebjerg";"sexy1";"405";"p";"D"
14;"flakkebjerg";"sexy1";"405";"p";"Y"
15;"flakkebjerg";"sexy1";"412";"a";"D"
16;"flakkebjerg";"sexy1";"412";"a";"Y"
